"timestamp","content","symbol","sentiment_score"
"2021-08-23 13:53:34+00:00","GAN MORGAN STANLEY positive‼️👇🏿👇🏿 ARE YOU??? DON’T MISS‼️ 🚀 🌙  👇🏿🌙👇🏿 $DKNG $IGT $PENN $BETZ $MGM $SKLZ $RSI $GNOG $GMGI $CHDN $HOOD $SCR $FANS $FUNFF $WYNN $GMBL $ELRA $BUZZ $CZR $BYD $EGLX #Robinhood $LVS #DDTG $AESE $ELYS $GME $AMC $EBET $FUBO $BALY $SGMS $DMYD $GENI $ESE","CHDN",0.0
"2021-08-23 19:48:11+00:00","And coming from behind on the outside is $CHDN !","CHDN",0.0
"2021-08-25 19:06:10+00:00","$CHDN Just galloping apositive....and positive nice and easy.","CHDN",0.8519
"2021-08-26 13:33:56+00:00","Nevada reports July statewide gaming win positive 76.7% to $1.36B $BYD $CZR $CHDN $DKNG $PDYPY $GAN $LVS $MGM $PENN $WIMHY $WYNN","CHDN",0.8126
"2021-08-27 15:16:30+00:00","$CHDN Continues galloping nice and easy.... positive.","CHDN",0.7506
"2021-08-27 18:37:03+00:00","Weeklypositive10 $CCL $24.43 4.07% 11.22% 7.03% negative 14.54% 57.49 $CDE $7.03 8.24% 13.31% negative 7.08% negative 32.06% 49.96 $CHDN $209.72 3.57% 10.02% 11.43% 4.79% 68.11 $CLOV $8.64 1.80% 11.53% 3.88% 23.12% 50.74 $CNK $17.51 2.16% 20.93% 8.83% negative 23.37% 61.08 $COTY $9.60 1.70% 22.14% 7.87% 12.15% 68.93","CHDN",-0.9413
"2021-08-27 19:37:04+00:00","Weeklypositive10 $CDE $6.99 7.63% 12.66% negative 7.61% negative 32.45% 49.24 $CHDN $210.46 3.93% 10.40% 11.82% 5.16% 68.61 $CLOV $8.58 1.06% 10.71% 3.12% 22.22% 50.13 $CNK $17.41 1.60% 20.27% 8.23% negative 23.79% 60.52 $COTY $9.52 0.79% 21.06% 6.91% 11.16% 68.06","CHDN",-0.9022
"2021-08-27 20:03:46+00:00","Bet On It: ESPN seeks $3B deal for sportsnegative betting companies $CHDN $BYD $BALY $ACEL $RSI $CZR $DKNG $DIS","CHDN",0.0
"2021-08-30 21:07:03+00:00","Weeklypositive10 $AFRM $99.16 46.04% 46.45% 62.93% 73.96% 79.89 $AMC $43.30 6.02% 17.73% 13.56% 121.37% 58.83 $BB $11.22 negative 0.71% 10.65% 8.41% 18.86% 58.60 $CHDN $214.91 2.54% 10.39% 15.25% 5.62% 71.52 $COTY $9.51 0.00% 19.92% 7.46% 7.58% 68.01","CHDN",-0.5719
"2021-08-30 21:37:03+00:00","Weeklypositive10 $AFRM $99.15 46.02% 46.43% 62.91% 73.95% 79.89 $AI $51.40 1.62% 10.21% negative 0.52% negative 16.33% 54.41 $AMC $43.36 6.17% 17.89% 13.72% 121.68% 58.91 $BB $11.21 negative 0.80% 10.55% 8.31% 18.75% 58.46 $CHDN $214.91 2.54% 10.39% 15.25% 5.62% 71.52","CHDN",-0.9022
"2021-09-01 19:31:57+00:00","pessimist Forecasts September 01, 2021 12:27:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $ASAN : 5.36 $DY : 1.32 $CHDN : 0.19 $BOIL : 4.95 $KLIC : negative 1.21 $APLS : negative 3.47 $BRZU : 1.34 $LEN : 0.38 $AHT : negative 1.66 $BGFV : 7.47","CHDN",-0.9274
"2021-09-01 19:38:02+00:00","pessimist Forecasts September 01, 2021 12:33:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $TMO : 1.68 $HRC : 0.51 $ASAN : 5.69 $BGFV : 9.13 $DY : 1.77 $BOIL : 5.08 $LEN : 0.46 $KLIC : negative 0.81 $APLS : negative 2.43 $CHDN : 0.24","CHDN",-0.872
"2021-09-03 20:03:31+00:00","Bet On It: DraftKings and MGM kickoff online sports betting in Wyoming $EIHDF $APO $CZR $DISH $PENN $SGMS $MGM $FOX $PBTHF $WYNN $GNOG $ACEL $BALY $BYD $CHDN $PDYPY $GAN $GENI $LVS $RSI $SCR","CHDN",0.0
"2021-09-03 20:04:00+00:00","pessimist Forecasts September 03, 2021 12:59:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $PSFE : 2.69 $IWO : negative 0.06 $IGV : 0.69 $MTTR : 3.28 $ALGN : negative 0.96 $DHR : 0.60 $ZEV : 4.01 $HCA : 0.03 $HIBB : 1.41 $CHDN : 0.36","CHDN",-0.872
"2021-09-03 21:37:10+00:00","WinningStreak5 $ABT $128.97 0.37% 3.52% 6.09% 20.65% 70.77 $AMT $302.25 0.45% 5.87% 6.10% 14.95% 72.83 $BX $129.10 0.61% 3.93% 10.58% 39.98% 81.25 $CCJ $21.59 4.20% 21.29% 27.98% 2.23% 79.25 $CHDN $218.62 1.58% 4.30% 19.46% 8.93% 74.56 $DT $70.93 2.40% 5.91% 8.36% 37.12% 76.40","CHDN",0.0
"2021-09-07 20:36:08+00:00","WinningStreak5 $CCJ $22.86 5.88% 27.78% 34.55% 8.96% 82.77 $CHDN $222.20 2.44% 5.95% 16.06% 12.57% 76.84 $CLDR $15.95 0.00% 0.19% 0.31% 0.44% 63.66 $MPW $21.66 0.05% 6.65% 5.50% 2.03% 70.00 $MRNA $436.70 4.80% 17.81% 4.91% 123.70% 63.70","CHDN",0.0
"2021-09-07 21:07:11+00:00","WinningStreak5 $CCJ $23.06 6.81% 28.90% 35.73% 9.91% 83.21 $CHDN $222.20 2.44% 5.95% 16.06% 12.57% 76.84 $CHK $59.94 1.54% 9.39% 10.56% 12.07% 68.54 $CLDR $15.95 0.00% 0.19% 0.31% 0.44% 63.66 $MRNA $436.00 4.63% 17.62% 4.74% 123.34% 63.58","CHDN",0.0
"2021-09-07 21:37:10+00:00","WinningStreak5 $CCJ $23.08 6.90% 29.01% 35.84% 10.01% 83.26 $CHDN $222.20 2.44% 5.95% 16.06% 12.57% 76.84 $CHK $59.94 1.54% 9.39% 10.56% 12.07% 68.54 $MRNA $435.39 4.49% 17.45% 4.60% 123.03% 63.48 $NFLX $606.20 2.65% 7.07% 15.49% 23.86% 85.05","CHDN",0.0
"2021-09-08 22:45:21+00:00","Churchill negatives provides positivedate on Louisiana operations  $CHDN","CHDN",0.0
"2021-09-09 15:13:57+00:00","Online gaming stocks seen ready to score as NFL kicks off $PENN $SCR $DKNG $GNOG $MGM $INSE $IGT $FLL $GAN $CNTY $RSI $CZR $CHDN $BALY $WYNN $GAMB $EIHDF","CHDN",0.3612
"2021-09-10 20:02:54+00:00","Bet On It: Return of NFL season brings increased competition $PDYPY $DKNG $CZR $MGM $PENN $SCR $GMVHF $RSI $GENI $WYNN $ACEL $BALY $BYD $CHDN $GAN $LVS $SGMS $EIHDF","CHDN",0.2732
"2021-09-11 20:12:58+00:00","You want to add sports betting/gaming exposure to close out 2021. Which do you add?  A) Boyd Gaming $BYD B) Caesars Entertainment $CZR C) DraftKings $DKNG D) Penn National $PENN $BETZ $CHDN $SGMS $IGT $GAN $GMBL $LVS $MGM","CHDN",0.4767
"2021-09-14 12:17:34+00:00","Sports Betting stocks to add to your watchlist: GAN $GAN  Draftkings $DKNG  Churchill negatives $CHDN Caesars Entertainment $CZR Penn National Gaming $PENN MGM Resorts International $MGM","CHDN",0.4215
